ID,Text,Sub-task A,Sub-task B,monolingual,tokenized
C68.624,Bhogoban ar chakor sobai,NAG,NGEN,উপভোগ চাকর সবাই,"['উপভোগ', 'চাকর', 'সবাই']"
C45.550,"সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে আর কিছু না ।",NAG,NGEN,"সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে কিছু ।","['সবাই', 'ঠিক', 'আছে,', 'এ', 'ভিডিওটা', 'করছে', 'ওদের', 'কিছু', 'কাস্টমার', 'বাড়ানোর', 'জন্যে', 'কিছু', '।']"
C45.186.3,Hmm,NAG,NGEN,হুঁ,['হুঁ']
C68.647,beti ta khub soytan bikari . manus re khub opman kore.,OAG,NGEN,সর্বদা টা খুব আমি খুবই বিকারি . মানুষ পুনরায় খুব অপম্যান করে.,"['সর্বদা', 'টা', 'খুব', 'আমি', 'খুবই', 'বিকারি', '.', 'মানুষ', 'পুনরায়', 'খুব', 'অপম্যান', 'করে.']"
C68.978,যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন,CAG,NGEN,যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন,"['যেখান', 'থেকে', 'নিয়ে', 'আসা', 'হয়েছে', 'আবার', 'সেখানে', 'গিয়ে', 'রেখে', 'আসুন']"
C44.237.2,"@FunMasti Tv are bokachoda cam ar jonno nittisto akta Manus thakbe taibole
bonke noy janoyarbacha Tora to maa bon ke chudis Tora ai pobitro somporko ki
bujbi",OAG,GEN,@ ফুনমাস্তি টিভি পাশাপাশি কমলা জন্য নিকটস্টাস একটা মানুষ থাকবে খুব পাতলা বোনকে জানোয়ারবাচা বাঘ প্রতি জমি আমরা হব অবাক বাঘ পবিত্র সম্পর্ক বুজবি,"['@', 'ফুনমাস্তি', 'টিভি', 'পাশাপাশি', 'কমলা', 'জন্য', 'নিকটস্টাস', 'একটা', 'মানুষ', 'থাকবে', 'খুব', 'পাতলা', 'বোনকে', 'জানোয়ারবাচা', 'বাঘ', 'প্রতি', 'জমি', 'আমরা', 'হব', 'অবাক', 'বাঘ', 'পবিত্র', 'সম্পর্ক', 'বুজবি']"
C45.573,"Upni bodhoy jan nijer jonno kotha sune tai to mone hochhe. Upner moto muske ei
video korar jonno to juto peta kora uchid. Karon upni abar oder choto kore
nije imcum korte chaichen",OAG,NGEN,সাব বোধয় যান নিজের জন্য কথা শুনে বা প্রতি মনে hochhe। উপনার মতো পুরুষ ভিডিও করার জন্য প্রতি জুতো মানচিত্র করা uchid। কারণ সাব আবার বা ছোট এইটা imcum করতে চাইছেন,"['সাব', 'বোধয়', 'যান', 'নিজের', 'জন্য', 'কথা', 'শুনে', 'বা', 'প্রতি', 'মনে', 'hochhe।', 'উপনার', 'মতো', 'পুরুষ', 'ভিডিও', 'করার', 'জন্য', 'প্রতি', 'জুতো', 'মানচিত্র', 'করা', 'uchid।', 'কারণ', 'সাব', 'আবার', 'বা', 'ছোট', 'এইটা', 'imcum', 'করতে', 'চাইছেন']"
C68.1112,ami prothom theke Procchondo kortam na ranu ke,CAG,NGEN,আমি প্রথম থেকে প্রচণ্ড করতাম,"['আমি', 'প্রথম', 'থেকে', 'প্রচণ্ড', 'করতাম']"
C59.2058,"ভাহ ভাতিজা ভাহ চমতকার, তোমার কথা",NAG,NGEN,"ভাহ ভাতিজা ভাহ চমৎকার, তোমার কথা","['ভাহ', 'ভাতিজা', 'ভাহ', 'চমৎকার,', 'তোমার', 'কথা']"
C68.1090,বাস দাও,NAG,NGEN,বাস দাও,"['বাস', 'দাও']"
C68.675,Kak ke moyur banano jabena,CAG,NGEN,কিভাবে ময়ূর বানানো যাবেনা,"['কিভাবে', 'ময়ূর', 'বানানো', 'যাবেনা']"
C45.721,Kosto laglo...😢😢😢,NAG,NGEN,কষ্ট laglo...😢😢😢,"['কষ্ট', 'laglo...😢😢😢']"
C45.553,"কি দরকার ছিল এই ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কতো
মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে",NAG,GEN,"কি দরকার ছিল ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কত মেয়ে কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে","['কি', 'দরকার', 'ছিল', 'ভিডিও', 'বানানোর,', 'পেটের', 'দায়ে', 'শরীর', 'বেচছে,', 'ভদ্রলোকের', 'বাড়িতে', 'কত', 'মেয়ে', 'কাজ', 'করছে,', 'এরা', 'তো', 'নেহাতই', 'পেটের', 'দায়ে', 'করছে']"
C46.205,ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,NAG,NGEN,ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,"['ওর', 'সঙ্গে', 'যা', 'হয়েছে', 'তার', 'জন্য', 'ওদের', 'জেন', 'ফাঁসি', 'চাই']"
C59.364,"Nice dada
Kub valo dada",NAG,NGEN,ভাল লাগল বুক কিউব ভালো বুক,"['ভাল', 'লাগল', 'বুক', 'কিউব', 'ভালো', 'বুক']"
C68.883,Nice ha bhai,NAG,NGEN,ভাল লাগল তার আছে ভাই,"['ভাল', 'লাগল', 'তার', 'আছে', 'ভাই']"
C46.75,Eder fasi chai,NAG,NGEN,এদের ফাঁসি চাই,"['এদের', 'ফাঁসি', 'চাই']"
C59.1377,relpeter kutta ranu ha ha ha,NAG,NGEN,রিলপিটার কুত্তা তার আছে তার আছে তার আছে,"['রিলপিটার', 'কুত্তা', 'তার', 'আছে', 'তার', 'আছে', 'তার', 'আছে']"
C59.1833,Faltu ranu di,CAG,NGEN,ফালতু,['ফালতু']
C61.1090,Kala magi,OAG,GEN,কালা মাগি,"['কালা', 'মাগি']"
C68.1043,কয়লা ঘুলে কখনো ময়লা যায় না ভাইয়া 🤣🤣🤣🤣🤣🤣🤣,CAG,NGEN,কয়লা ঘুলে কখনো ময়লা যায় ভাইয়া 🤣🤣🤣🤣🤣🤣🤣,"['কয়লা', 'ঘুলে', 'কখনো', 'ময়লা', 'যায়', 'ভাইয়া', '🤣🤣🤣🤣🤣🤣🤣']"
C44.164.5,@Surajit Chakraborty আপনি কি বুঝিয়েছেন ?,NAG,NGEN,@সুরজিৎ চক্রবর্তী আপনি কি বুঝিয়েছেন ?,"['@সুরজিৎ', 'চক্রবর্তী', 'আপনি', 'কি', 'বুঝিয়েছেন', '?']"
C46.163,"Ame o kamdunir ka6ei theke r oi ek e collage mane derozio te pore sotti
ghotona ta khub e dengurus aj o vulte pari na",NAG,NGEN,মা দ্য কান্দুনির কার্ড 6 এ থেকে r ওহে এক কোলাজ থেকে ক্ষয় প্রতি পরে সত্যি ঘটনা টা খুব দেংগুরু এস আজ দ্য ভুলতে পারি,"['মা', 'দ্য', 'কান্দুনির', 'কার্ড', '6', 'এ', 'থেকে', 'r', 'ওহে', 'এক', 'কোলাজ', 'থেকে', 'ক্ষয়', 'প্রতি', 'পরে', 'সত্যি', 'ঘটনা', 'টা', 'খুব', 'দেংগুরু', 'এস', 'আজ', 'দ্য', 'ভুলতে', 'পারি']"
C59.2325,"Biroktikor hoe gachhe ei Ranu Mandal r Himesh Reshamya ao jeno pagol hoe
gachhe Ranu Mandal k famous koranor jonno.😂😂😂😂😂😂😂😂😂😂😂😂",CAG,NGEN,বিরোক্তিকর কিভাবে গাছে মণ্ডল r হিমেশ সিল্ক প্রতি যেন পাগল কিভাবে গাছে মণ্ডল প্রতি বিখ্যাত করানোর jonno.😂😂😂😂😂😂😂😂😂😂😂😂,"['বিরোক্তিকর', 'কিভাবে', 'গাছে', 'মণ্ডল', 'r', 'হিমেশ', 'সিল্ক', 'প্রতি', 'যেন', 'পাগল', 'কিভাবে', 'গাছে', 'মণ্ডল', 'প্রতি', 'বিখ্যাত', 'করানোর', 'jonno.😂😂😂😂😂😂😂😂😂😂😂😂']"
C59.671,Ak dom right 👏👏👏,NAG,NGEN,এক রায় ঠিক 👏👏👏,"['এক', 'রায়', 'ঠিক', '👏👏👏']"
C59.1549,OWao Kotha gulo darun bole6,NAG,NGEN,ওওয়াও কথা গুলো দারুন bole6,"['ওওয়াও', 'কথা', 'গুলো', 'দারুন', 'bole6']"
C59.529,Sera...😁😁😁😁😁,NAG,NGEN,হবে ... 😁😁😁😁😁,"['হবে', '...', '😁😁😁😁😁']"
C68.446,"Ar Ranu mondol akta mentle....
Take Nia troll kore lab nai .",CAG,NGEN,মন্ডল একটা মেন্টাল .... গ্রহণ করা নিয়ে ট্রল ল্যাব অনুপস্থিত .,"['মন্ডল', 'একটা', 'মেন্টাল', '....', 'গ্রহণ', 'করা', 'নিয়ে', 'ট্রল', 'ল্যাব', 'অনুপস্থিত', '.']"
C68.528,বাস নিয়ে ভোরে দিতে হবে শালী কে,OAG,GEN,বাস নিয়ে ভোরে দিতে হবে শালী কে,"['বাস', 'নিয়ে', 'ভোরে', 'দিতে', 'হবে', 'শালী', 'কে']"
C68.641,A K BARE SATTI.,NAG,NGEN,ক প্রতি শুধু সত্যি.,"['ক', 'প্রতি', 'শুধু', 'সত্যি.']"
C55.132,Khankir may amn may k puria Mara dorkar,OAG,GEN,খানকির পারে সুরক্ষা পারে প্রতি পুড়িয়ে মারা দরকার,"['খানকির', 'পারে', 'সুরক্ষা', 'পারে', 'প্রতি', 'পুড়িয়ে', 'মারা', 'দরকার']"
C46.131,Odar ka bichi kata dia dorkar sala harami dar,OAG,GEN,ওদার বা বিচি ড দিন দরকার ঘর হারামি কিন্তু,"['ওদার', 'বা', 'বিচি', 'ড', 'দিন', 'দরকার', 'ঘর', 'হারামি', 'কিন্তু']"
C59.645,"Amar bomi pai Amar na Amar Dadar c6eler boyos 5 boc6or tai or gan sunle ki gan
c6i",CAG,NGEN,আমার বমি বাবা আমার আমার দাদার c6eler বায়োস ৫ boc6or বা বা গ্যান শুনলে গ্যান c6i,"['আমার', 'বমি', 'বাবা', 'আমার', 'আমার', 'দাদার', 'c6eler', 'বায়োস', '৫', 'boc6or', 'বা', 'বা', 'গ্যান', 'শুনলে', 'গ্যান', 'c6i']"
C59.297,Ranu tho eakta bal chira singar.,OAG,NGEN,থো একতা bal chira সিঙ্গার.,"['থো', 'একতা', 'bal', 'chira', 'সিঙ্গার.']"
C45.123,বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ,NAG,NGEN,বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ,"['বারাইপুর', 'টেশনের', 'ল্যাবে', 'কত', 'দূর', 'যেতে', 'হবে', 'বলুন', 'প্লিজ']"
C59.363,Amader ranaghate ranu di,NAG,NGEN,amader রানাঘাট ranu,"['amader', 'রানাঘাট', 'ranu']"
C45.700,"তোমার চামরা গোটানোর দরকার।
শালা ভিডিও করো।
তোর মার মতোই রে ওই মহিলা।",OAG,GEN,তোমার চামরা গোটানোর দরকার। শালা ভিডিও করো। তোর মার মতোই রে ওই মহিলা।,"['তোমার', 'চামরা', 'গোটানোর', 'দরকার।', 'শালা', 'ভিডিও', 'করো।', 'তোর', 'মার', 'মতোই', 'রে', 'ওই', 'মহিলা।']"
C46.64,Puriye mara darkar,OAG,NGEN,puriye mara darkar,"['puriye', 'mara', 'darkar']"
C44.260.4,"@Sruti Paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?",CAG,NGEN,"@sruti paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?","['@sruti', 'paul', '১৬১০৮', 'জনের', 'হোগা', 'মারছে', 'কৃশ্ন,', '১৬১০৮', 'জনের', 'নাম', 'কি', 'তার', 'মনে', 'আছে?']"
C59.990,Just kono ktha hbe na awsome fantabulas dia6o.,NAG,NGEN,just kono ktha hbe na awsome fantabulas dia6o.,"['just', 'kono', 'ktha', 'hbe', 'na', 'awsome', 'fantabulas', 'dia6o.']"
C68.399,Dada video te titel ta thik kore lekhar chasta koro,NAG,NGEN,dada video te titel ta thik kore lekhar chasta koro,"['dada', 'video', 'te', 'titel', 'ta', 'thik', 'kore', 'lekhar', 'chasta', 'koro']"
C68.4,ভিখারী ও ছোট মনের মেয়ে,OAG,NGEN,ভিখারী ও ছোট মনের মেয়ে,"['ভিখারী', 'ও', 'ছোট', 'মনের', 'মেয়ে']"
C46.207,"শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি",NAG,NGEN,"শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি","['শিখার', 'বাবা', 'আমার', 'বাবার', 'মত', 'সৎ,এই', 'বাবারাই', 'কষট', 'পায়', 'বেশি']"
C46.72,"Bharot rapist der desh hawe gache.. Je deshe Ma meyeder kono samman nei sei
desher konodin kichu habe na. Obhisap jabe kothay. Fucking rape capital.
Amader desh pratidin dharshito hacche. Er kono sesh nei.. Fucking law and
order..",OAG,GEN,bharot rapist der desh hawe gache.. je deshe ma meyeder kono samman nei sei desher konodin kichu habe na. obhisap jabe kothay. fucking rape capital. amader desh pratidin dharshito hacche. er kono sesh nei.. fucking law and order..,"['bharot', 'rapist', 'der', 'desh', 'hawe', 'gache..', 'je', 'deshe', 'ma', 'meyeder', 'kono', 'samman', 'nei', 'sei', 'desher', 'konodin', 'kichu', 'habe', 'na.', 'obhisap', 'jabe', 'kothay.', 'fucking', 'rape', 'capital.', 'amader', 'desh', 'pratidin', 'dharshito', 'hacche.', 'er', 'kono', 'sesh', 'nei..', 'fucking', 'law', 'and', 'order..']"
C44.180,এটা অবাক হরার কিছু নেই,NAG,NGEN,এটা অবাক হরার কিছু নেই,"['এটা', 'অবাক', 'হরার', 'কিছু', 'নেই']"
C59.54.1,ggg,NAG,NGEN,ggg,['ggg']
C62.116,"কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায়
অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।",NAG,NGEN,কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায় অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।,"['কিন্তু', 'সাকিব', 'খান', 'সবসময়', 'যে', 'মিডিয়া', 'কে', 'বলে', 'আসছিল', 'বাপ্পির', 'সাথে', 'তাকে', 'নুড', 'অবস্থায়', 'অপু', 'বিশ্বাস', 'কে', 'ধরেছে', 'সাকিব', 'খান।তাহলে', 'কি', 'সাকিবের', 'কথাই', 'সত্য', 'প্রমানিত', 'হল।']"
C45.355.2,🤔🤔hm,NAG,NGEN,🤔🤔hm,['🤔🤔hm']
C44.154,"ভাই বোনের ভালোবাসা স্নেহের হ ওয়া উচিত, ভাই বোন বা দাদা বোন একে অন‍্যকে জড়িয়ে
ধরতেই পারে কিন্তু সেটা স্নেহ ভরে জড়িয়ে ধরা উচিত, ভাই বোনের মধ‍্যে বা দাদা
বোনের মধ্যে শারীরিক সম্পর্ক কি করে থাকতে পারে?কি করে তারা বিয়ে করে স্বামী
স্ত্রী হতে পারে?ছি:ছি: স্বামী স্ত্রীর নোংরা ভালোবাসা, নোংরা শারীরিক সম্পর্ক
ভাই বোনের বা দাদা বোনের পবিত্র সম্পর্কের মধ্যে কি করে আসতে পারে?ছি:ছি: এসব
দেখানো বন্ধ করুন,এসব দেখাও পাপ,ছি: এসব দেখতে লজ্জা হয় ঘৃণা হয়।এসব দেখিয়ে দয়া
করে সমাজকে নষ্ট করবেন না।এসব দেখে অনেক দাদা বোনের ভাই বোনের স্নেহের সম্পর্ক
নষ্ট হয়ে স্নেহ পরিনত হবে নোংরা ভালোবাসায়",NAG,GEN,"ভাই বোনের ভালোবাসা স্নেহের হ ওয়া উচিত, ভাই বোন বা দাদা বোন একে অন‍্যকে জড়িয়ে ধরতেই পারে কিন্তু সেটা স্নেহ ভরে জড়িয়ে ধরা উচিত, ভাই বোনের মধ‍্যে বা দাদা বোনের মধ্যে শারীরিক সম্পর্ক কি থাকতে পারে?কি তারা বিয়ে স্বামী স্ত্রী হতে পারে?ছি:ছি: স্বামী স্ত্রীর নোংরা ভালোবাসা, নোংরা শারীরিক সম্পর্ক ভাই বোনের বা দাদা বোনের পবিত্র সম্পর্কের মধ্যে কি আসতে পারে?ছি:ছি: এসব দেখানো বন্ধ করুন,এসব দেখাও পাপ,ছি: এসব দেখতে লজ্জা হয় ঘৃণা হয়।এসব দেখিয়ে দয়া সমাজকে নষ্ট করবেন না।এসব দেখে অনেক দাদা বোনের ভাই বোনের স্নেহের সম্পর্ক নষ্ট হয়ে স্নেহ পরিনত হবে নোংরা ভালোবাসায়","['ভাই', 'বোনের', 'ভালোবাসা', 'স্নেহের', 'হ', 'ওয়া', 'উচিত,', 'ভাই', 'বোন', 'বা', 'দাদা', 'বোন', 'একে', 'অন\u200d্যকে', 'জড়িয়ে', 'ধরতেই', 'পারে', 'কিন্তু', 'সেটা', 'স্নেহ', 'ভরে', 'জড়িয়ে', 'ধরা', 'উচিত,', 'ভাই', 'বোনের', 'মধ\u200d্যে', 'বা', 'দাদা', 'বোনের', 'মধ্যে', 'শারীরিক', 'সম্পর্ক', 'কি', 'থাকতে', 'পারে?কি', 'তারা', 'বিয়ে', 'স্বামী', 'স্ত্রী', 'হতে', 'পারে?ছি:ছি:', 'স্বামী', 'স্ত্রীর', 'নোংরা', 'ভালোবাসা,', 'নোংরা', 'শারীরিক', 'সম্পর্ক', 'ভাই', 'বোনের', 'বা', 'দাদা', 'বোনের', 'পবিত্র', 'সম্পর্কের', 'মধ্যে', 'কি', 'আসতে', 'পারে?ছি:ছি:', 'এসব', 'দেখানো', 'বন্ধ', 'করুন,এসব', 'দেখাও', 'পাপ,ছি:', 'এসব', 'দেখতে', 'লজ্জা', 'হয়', 'ঘৃণা', 'হয়।এসব', 'দেখিয়ে', 'দয়া', 'সমাজকে', 'নষ্ট', 'করবেন', 'না।এসব', 'দেখে', 'অনেক', 'দাদা', 'বোনের', 'ভাই', 'বোনের', 'স্নেহের', 'সম্পর্ক', 'নষ্ট', 'হয়ে', 'স্নেহ', 'পরিনত', 'হবে', 'নোংরা', 'ভালোবাসায়']"
C45.378,Jaigata kothai ektu bolbe pls...,NAG,NGEN,jaigata কোথায় একটু বলবে প্লিজ ...,"['jaigata', 'কোথায়', 'একটু', 'বলবে', 'প্লিজ', '...']"
C68.163.1,Amar profile check Koro akta song post acche palak Muchhal mam ar Sathe 😊😊,NAG,NGEN,আমার প্রোফাইল check করো একটা গান পোস্ট ভাল পালক muchhal mam সাথে 😊😊,"['আমার', 'প্রোফাইল', 'check', 'করো', 'একটা', 'গান', 'পোস্ট', 'ভাল', 'পালক', 'muchhal', 'mam', 'সাথে', '😊😊']"
C59.869,Shera bhai shera😅,NAG,NGEN,শেরা bhai shera😅,"['শেরা', 'bhai', 'shera😅']"
C59.914,Sera boss,NAG,NGEN,sera boss,"['sera', 'boss']"
C62.196,"Chele to muslim babar kase thake na..tmi to hindu..to kar adorse chele k boro
korbe..kokhono ki vebe dekheco apu??????",CAG,NGEN,ছেলে প্রতি মুসলিম babar কারণ থাকে na..tmi to hindu..to kar উত্সাহ ছেলে প্রতি boro করবে..কখনো vebe দেখেকো apu??????,"['ছেলে', 'প্রতি', 'মুসলিম', 'babar', 'কারণ', 'থাকে', 'na..tmi', 'to', 'hindu..to', 'kar', 'উত্সাহ', 'ছেলে', 'প্রতি', 'boro', 'করবে..কখনো', 'vebe', 'দেখেকো', 'apu??????']"
C68.604,ওরে গারে লাথি মেরে রানাঘাটে বসাও আর পারছি না এই কথাগুলো শুনতে,OAG,NGEN,ওরে গারে লাথি মেরে রানাঘাটে বসাও পারছি কথাগুলো শুনতে,"['ওরে', 'গারে', 'লাথি', 'মেরে', 'রানাঘাটে', 'বসাও', 'পারছি', 'কথাগুলো', 'শুনতে']"
C68.1005,Ranu mandal ekjon faltu mahila onake station tai thik,OAG,NGEN,মণ্ডল একজন ফালতু মহিলা onake স্টেশন বা ঠিক,"['মণ্ডল', 'একজন', 'ফালতু', 'মহিলা', 'onake', 'স্টেশন', 'বা', 'ঠিক']"
C44.318.1,Amaro,NAG,NGEN,আমার,['আমার']
C47.25,"পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে না .... আর মহিলা থানা গুলো আরও অপদার্থ
....",NAG,GEN,পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে .... মহিলা থানা গুলো আরও অপদার্থ ....,"['পুলিশ', 'তো', 'সব', 'ক্ষেত্রে', 'সাহায্য', 'করতে', 'আসে', '....', 'মহিলা', 'থানা', 'গুলো', 'আরও', 'অপদার্থ', '....']"
