monolingual,Sub-task B
সর্বদা টা খুব আমি খুবই বিকারি . মানুষ পুনরায় খুব অপম্যান করে.,1
যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন,1
@ ফুনমাস্তি টিভি পাশাপাশি কমলা জন্য নিকটস্টাস একটা মানুষ থাকবে খুব পাতলা বোনকে জানোয়ারবাচা বাঘ প্রতি জমি আমরা হব অবাক বাঘ পবিত্র সম্পর্ক বুজবি,0
সাব বোধয় যান নিজের জন্য কথা শুনে বা প্রতি মনে hochhe। উপনার মতো পুরুষ ভিডিও করার জন্য প্রতি জুতো মানচিত্র করা uchid। কারণ সাব আবার বা ছোট এইটা imcum করতে চাইছেন,1
আমি প্রথম থেকে প্রচণ্ড করতাম,1
"ভাহ ভাতিজা ভাহ চমৎকার, তোমার কথা",1
বাস দাও,1
কিভাবে ময়ূর বানানো যাবেনা,1
কষ্ট laglo...😢😢😢,1
"কি দরকার ছিল ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কত মেয়ে কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে",0
ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,1
ভাল লাগল বুক কিউব ভালো বুক,1
ভাল লাগল তার আছে ভাই,1
এদের ফাঁসি চাই,1
রিলপিটার কুত্তা তার আছে তার আছে তার আছে,1
ফালতু,1
কালা মাগি,0
কয়লা ঘুলে কখনো ময়লা যায় ভাইয়া 🤣🤣🤣🤣🤣🤣🤣,1
@সুরজিৎ চক্রবর্তী আপনি কি বুঝিয়েছেন ?,1
মা দ্য কান্দুনির কার্ড 6 এ থেকে r ওহে এক কোলাজ থেকে ক্ষয় প্রতি পরে সত্যি ঘটনা টা খুব দেংগুরু এস আজ দ্য ভুলতে পারি,1
বিরোক্তিকর কিভাবে গাছে মণ্ডল r হিমেশ সিল্ক প্রতি যেন পাগল কিভাবে গাছে মণ্ডল প্রতি বিখ্যাত করানোর jonno.😂😂😂😂😂😂😂😂😂😂😂😂,1
এক রায় ঠিক 👏👏👏,1
ওওয়াও কথা গুলো দারুন bole6,1
হবে ... 😁😁😁😁😁,1
মন্ডল একটা মেন্টাল .... গ্রহণ করা নিয়ে ট্রল ল্যাব অনুপস্থিত .,1
বাস নিয়ে ভোরে দিতে হবে শালী কে,0
ক প্রতি শুধু সত্যি.,1
খানকির পারে সুরক্ষা পারে প্রতি পুড়িয়ে মারা দরকার,0
ওদার বা বিচি ড দিন দরকার ঘর হারামি কিন্তু,0
আমার বমি বাবা আমার আমার দাদার c6eler বায়োস ৫ boc6or বা বা গ্যান শুনলে গ্যান c6i,1
থো একতা bal chira সিঙ্গার.,1
বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ,1
amader রানাঘাট ranu,1
তোমার চামরা গোটানোর দরকার। শালা ভিডিও করো। তোর মার মতোই রে ওই মহিলা।,0
puriye mara darkar,1
"@sruti paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?",1
just kono ktha hbe na awsome fantabulas dia6o.,1
dada video te titel ta thik kore lekhar chasta koro,1
ভিখারী ও ছোট মনের মেয়ে,1
"শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি",1
bharot rapist der desh hawe gache.. je deshe ma meyeder kono samman nei sei desher konodin kichu habe na. obhisap jabe kothay. fucking rape capital. amader desh pratidin dharshito hacche. er kono sesh nei.. fucking law and order..,0
এটা অবাক হরার কিছু নেই,1
ggg,1
কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায় অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।,1
🤔🤔hm,1
"ভাই বোনের ভালোবাসা স্নেহের হ ওয়া উচিত, ভাই বোন বা দাদা বোন একে অন‍্যকে জড়িয়ে ধরতেই পারে কিন্তু সেটা স্নেহ ভরে জড়িয়ে ধরা উচিত, ভাই বোনের মধ‍্যে বা দাদা বোনের মধ্যে শারীরিক সম্পর্ক কি থাকতে পারে?কি তারা বিয়ে স্বামী স্ত্রী হতে পারে?ছি:ছি: স্বামী স্ত্রীর নোংরা ভালোবাসা, নোংরা শারীরিক সম্পর্ক ভাই বোনের বা দাদা বোনের পবিত্র সম্পর্কের মধ্যে কি আসতে পারে?ছি:ছি: এসব দেখানো বন্ধ করুন,এসব দেখাও পাপ,ছি: এসব দেখতে লজ্জা হয় ঘৃণা হয়।এসব দেখিয়ে দয়া সমাজকে নষ্ট করবেন না।এসব দেখে অনেক দাদা বোনের ভাই বোনের স্নেহের সম্পর্ক নষ্ট হয়ে স্নেহ পরিনত হবে নোংরা ভালোবাসায়",0
jaigata কোথায় একটু বলবে প্লিজ ...,1
আমার প্রোফাইল check করো একটা গান পোস্ট ভাল পালক muchhal mam সাথে 😊😊,1
শেরা bhai shera😅,1
sera boss,1
ছেলে প্রতি মুসলিম babar কারণ থাকে na..tmi to hindu..to kar উত্সাহ ছেলে প্রতি boro করবে..কখনো vebe দেখেকো apu??????,1
ওরে গারে লাথি মেরে রানাঘাটে বসাও পারছি কথাগুলো শুনতে,1
মণ্ডল একজন ফালতু মহিলা onake স্টেশন বা ঠিক,1
আমার,1
পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে .... মহিলা থানা গুলো আরও অপদার্থ ....,0
অসোভ মেয়ে একটা স্থিতি ফালতু meye jemon ফালতু ব্রা,0
**আপনি লাস্ট বাড়িতে ঢুকলেন কেন চোদার জন্য** 🤭🤭🤭,1
এত বয়স,1
একটা রিকোয়েস্ট করি সব ছাড়ি আল্লাহ্ পথে ফিরে আস দেখবে জীবনে শুধুই শান্তি আসবে।,1
শেষ বাড়িতে চুদতে okোকলি গিঁট be lewra,1
[3:34] (https://www.youtube.com/watch?v=8us63u9lv1s&t=3m34s) 😂😂,1
দুইটাই শয়তান,1
জিনিস বোরো মাদারফাকার,0
বোকাচোদা তোর মেরিন ভালো bolte হয় বা আমার বাড়ি বারুইপুর,1
paglitr জিএন r সানবোনা ami,1
ঔ কি দিলে,1
এটাও সমস্যা,1
j কষ্ট পেয়েছে সাথী ভোগোবান,1
সবাই এত রিয়েক্ট করছেন কেন। এরা তো আপন ভাই বোন নয়,0
@ সোমেন্দ্র নাথ চ্যাটার্জী ❤️❤️,1
গলো ভালো,1
"ভাই, তুমি যে শিরোনাম লিখেছ, কয়েল মল্লিক জুতা ছুড়ে মারলো, তার ভিডিও টা কোথায়? গাধা কোথাকার!",1
বিস্তারিত তথ্য চাই সুমন পাত্র ৭৬০২৬৯১৭৩১,1
ভাল লাগল শীতল,1
মুখে লাথি মারা উচিত... পাগলী কোথাকার,1
কেবল bolecho....👍,1
আমি জানি যে দাক্তরি মতে ধুমপান স্বাস্তের পক্ষে ক্ষতি কর তবু আমরা পানকরি,1
ওসাম নিযুক্ত করা,1
বিচার মোটামুটি ভাল হয়েছে বাংলাদেশে তো কিছুদিন পর মুক্তি পায়। বলে আত্মহত্যা করেছিল।,1
fasi dau ফাঁসি,1
কেন? মন্ডল আপনার বাল ছিরছে।,0
মন্ডলের গালে গালে জুতা মারো তালে তালে।,1
ranu mondan randi sali,0
"akdom,, পুরো ঠিক",1
তোর কি dekha,0
mane,1
"@ সহিনা begam আপনাদের মুসলমানরা 4-5 টা বিয়ে 20-25 টা বাচ্চা নেয়। বাচ্চা গুলকে ঠিক মানুষ করতে পারেনা তাই তারা খিদের জ্বালায়,পেটের দায়ে চুরি চামারি করে,খুন,ধর্ষন অর্থাৎ সমাজ বিরোধী তৈরী হয়। আমাদের দেশে যত ক্রাইম হয় তার 80% মুসুলমান রা করে। আমরা হিন্দু যুবকরা মুসলমানদের মত নয় আমরা হিন্দু মেয়ে ছাড়া আপনাদের দিকে তাকাই না। আমরা যদি অমন হতাম তাহলে আপনাদের মত মুসলিম মেয়েরা রেপ হয়ে গাছের ডালে ঝুলে থাকত।",1
ranu dede সর্বদা স্থির bohot ভুল buje . soitho jibone nai . make dekina .,1
সব দেখানো উচিত নয়,1
খুবই দুঃখজনক একই সাথে লজ্জাজনক ও বলতে পারেন,1
মাদারীর বাচ্চা অপেক্ষা কর আগের জায়গায় আসার,0
বেঈমান di k তার ager jaiga টা dekiye dite হবে,1
দাদা কী দিয়েছো😀😀😀😀😀 super বুক,1
বা পিটার দায়ে বাকল ..,1
জঞ্জাল,1
বা তোমার ভিডিও ta ভালো .kintu তুমি থাম্বনেইল e ভুল post die মতামত kamacho বা তুমি dir চেয়ে বোরো beiman আজ vabe কাজ koro. ranu di to দোষ korto তুমি প্রতি jochuri করছো,1
উদ্রেককারী পেনাল্টি হলো অঙ্গ কেটে lonka শিশু দিয়ে বার chii ঘেনা লাগে এদের manush বলতে স্থিতি এদের পর্যায় হলে onek কম পেনাল্টি জানোয়ার জাত hoi কিন্তু eder কোনো জাত hoi naa স্থিতি,1
ধর্ম সম্পর্কে জানে না।,1
তারা খুব নাকি 👺,1
একটা পাগল,1
সব জানোয়ার জানতো মহিলা বার উচিত,1
দেশি মাল পরিমনি,0
বাবা খিস্তি দ্বিচার,1
যে দেশে সমকামী বৈধ্য সে দেশে যৌন পল্লী আবার কি?,0
era অনেক খুব খারাপ কষ্টে পথে eseche,1
বুক ভুল নোলেন মন্ডল এবং অবস্থা দ্য যদি আরো ওপরে অন্যান্য thle সালমান r হেমেশ প্রতি বুগোবান চাকর এনজেআর চাকর বোলডিবে ... এবং ফালতু অনেক সুপ্পে ..,1
ভীখারী ভীখারী থাকবে সোনার চামচের মূল্য কি বুঝে,1
দাখর দ্বারা দেখা থেকে ঘুমোতে পারিনি ami.meyeta কষ্ট বা পেয়েছে বাস্তব মেয়েটার ঘট গুলো সানলুম মামলা উঠেছি,1
যোগ্য গুলোর fasi কবে হবে,1
মাগি কোথাকার জুতা পেটা করলে ও মন ভরে,0
কুতর বিকারা তোদের সাক্ষী কেটে অংশ ocid,1
আইন হলেও মন্ডল মাথার prblm a6e ..,1
😱😱😱😱😱😱🤣🤣🤣🤯🤯,1
অতীন্দ্র দেয় খুব ভালো মনের মানুষ সেটা তার কথা প্রতি চালচলনে রঙ যাই...র তার আছে এটাও রঙ যাই আমার জিনিস ছোট মনের লক..অনার ভালো .াকা পারেন,1
ঘর জানোয়ার বাঁচা গুলো তুষার কি দ্য সুজোক পালা বকাঝকা,1
শকুন যত উপরে উঠুক তার নজর থাকে নিচের দিকে । শকুন তার উদাহরণ।,1
মাগি খানকি একটা,0
কাঁচা কঞ্চির ব্যাপার টা সেই লাগলো,1
বাঃ দি বাঃ....👌👌👌,1
কথা টা কিন্তু ঠিক কুকি,1
এক সাদা উকুন আপনার মাথায় পলতাচেন ?? 😂😂😹😹,1
বাঃ দাদা বাঃ। দারুন ‌,1
দুজনের সম্মতি থাকলে আমার আপনার জ্বলে কেন,1
বিজ্ঞান বা থেকে এবং. মুসলিম এবং,1
ভাল লাগল বুক tumey পারব,1
বালের সাথে বাল ছাল গান করছে তোমরা পারো ও দাদা,1
"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে,, খানকির বাচ্চা দের, সারা জীবন কষ্ট দেওয়া উচিৎ ছিল ????",0
মন্ডল amr ভালোলাগা খারাপ খুব খারাপ,1
তোমার প্রথম ভিডিও দেখা...অনেক valo laglo👌👌👌👌👌...sob kothaa ভালো লেগেছে 👌👌👌👌👌👌👌👌.... awesome.....,1
tui প্রতি করা খানের আকরিক,0
ekdom thik ...,1
ইসলামে মদ পান হারাম,1
কি অার করা যাবে ওরা ওদের পেটের দায়ে বেশ্যাবৃত্তি করছে অার দাদা ওনার ভিউজ জন্য এটা করছে অার আমি আমার চ্যানেলে ভিউজ বাড়ানোর জন্য কমেন্ট টা করছি। সবাই সবার পেটের দায়ে 🙂,1
tumio ki chude esecho eder,1
mod kono rape er karon na mod kheye jodi keo rape kore tar saza dabul houya uchit ai kanun aate hobe,1
baler video,1
😁😁😁😁😁😁😂🤣,1
একদম ঠিক বলছেন দাদা,1
একটা মাগি মন্ডল 😆😆🤮🤮🤧🤧,0
"কেউ যদি আমাকে বলে ,, আপনি কি বলদের মুভি দেখবেন নাকি টয়লেটে বসে থাকবেন,, তা হলে আমি বলবো টয়লেটে বসে থাকবো,,",1
dik bolecho,1
একটা সুখের সংসার কিভাবে মাটিতে মিশিয়ে দিতে তা একমাত্র সব মহিলারা পারে।,0
খাঁটি কথা বলেচ্ছো ভাই শুনে ভালো লাগলো এইরকম বাস্তব কথা বলতে কোনদিন ভয় পাবে না।,1
আমার কাছে মন্ডল সবচেয়ে ভিকারী,1
emon talent অনেক আছে duniyai dada....payer juta ke mathai তুলতে nai...ranu মন্ডল তার kothai bujhiye diyeche je o একটা বংশগত ছোটোলোক,1
বোন নিজের সম্মান রেখে চলুন।,0
কোথায় এটা,1
ঘর khanki magi ranu,0
তার dimake ki ase,1
আপনি দুর্দান্ত ভাই,1
ake বন। জংগল আকমন লোক আজে নায়েকা,1
ack রায় dada ranu🖕,1
পাগলে বলে ....ছাগলে khay .... বা হাতে jhola ta manay....maik,1
পাগলাচোদা,0
বা সম্মান টা বোঝো একটু plz,1
বুক kothy এবং,1
o আচ্ছা ভিক্ষা করতো কিন্তু ভিখারি তারা ki সুন্দর,1
সব আপনার কাজ sakiber জন্য..হয়েসে ..sakib আপুকে মেনে নিলে ..ajke আরও আপনার কাজ হতোনা,1
অবশ্যই চ্যানেলটি সাবস্ক্রাইব করবেন।নতুন ভিডিও দেখতে ক্লিক করুন ভিডিও লিংক- <হটপস://ইউটু.যে/খ২ফেল্ডফী২এপিজি>,1
কথা বাহুল je..vhikari vhikari ওহে থাকে...আর রাজা রাজা oi thake.. অনেক পরিস্থিতি আসে যেটা জীবন change দেবতা ..,1
কি এসব,1
সুপার দেয়,1
সৃষ্টিকর্তা marbo,0
super.. tnx u আপনি amar আমার er কথা বললো.. দ্য প্রতি kay নোবল ছোড়ে marr..na আমি full সমর্থন kor6i 🤣🤣🤣🤣🤣🤣 ...,1
ডিআই গ্রাউন্ড মায়ের মতো হয়...এদের mone এসব ase kore? চি chi.....,0
অবাধে বায়ু - চলাচলের ব্যবস্থা মাগি k সমুদ্র কেবল,0
দারুন লাগলো,1
মণ্ডল একদম বেঈমান hoi,1
"চাইনা আমি সেই ভালোবাসা যে ভালবাসা """"""""""""""""""""""""""""""",1
pagla চোদা,0
কাঁচা কনচি দিয়ে বাড়ি দিতাম,1
ছিল,1
পোরো ঠিকানা টা ঠিক কোথায় ??,1
ওর নাম নিতে ঘৃণা করছে।বেইমান মন্ডল 👞👞👞👞👞,1
কোন কাজ নাই তোদের,1
ভাল ছিল,1
dada প্যাগোলগো,1
হাহাহাহাহাহাহা 😆😆😆😆😆,1
দূর থেকেও ভালো ভালো বার আমার হাতে আজ 6 এ ..,0
গান্ডী এত কথা বলিস ক্যা???গান্ডুর গান্ডী....🤣🤣🤣,0
বালের ভিডিও,1
মাগি দাঁতে পোকা আছে,0
একদম ১০০% ঠিক কথা বলেছেন ভাই.,1
কেন,1
ভিখারি jmon হয় উচিত প্রমান হয়ে গাছে,1
রানুদি 'তুমি' খারাপ দিয়ে দ্য রেন্ডি,0
কিছু করার নেই সবই পরিস্থিতি করতে বাধ্য,1
পাগলী আছে বা ভুল তিমি মন্তব্য করছে 🤣🤣🤣🤣🤣🤣🤣,1
শিয়া ভিক্ষুর,1
ম্যাক মঙ্গল ভিডিও বানিয়ে জিনিস টাকা আয় কেআর এ,1
"কাজিন der modde বিয়ে হলে hoi? আজকাল অনেক সিরিয়াল প্রতি দেখা, মাশির মেয়ে, কুক মেয়ের সাথে প্রেম .......",1
ja বলছেন পরিসংখ্যান ঠিক বলছেন,1
খানকি মাগি বাঘ পাদদেশীয়,0
ei মাগি ke পেলে জুতো দিয়ে mukh ফ্যাটবো দেখলে matha গরম hoi.... bhikari মাগি,0
পরিসংখ্যান 😂😂😂,1
শুধু ছেলে তার থেকে meye তার দ্য achhe,0
বুক হবে sera,1
ভাল লাগল চেস্ট 👍👍👍,1
একটা gud মারা ni,0
মণ্ডলের কুকুরের নাক ওকে পুলিশ ডোগের চাকরি দাও জিবোনে বেশি সফল হবে,1
ঘর ashifar moto আরো মুসলিম meye der ধর্ষণ kora উচিত,0
ai jonnoi bole midiyar মায়া খানকি onnor songe ডলার doli কাজ chara দ্য আরএ korte পোকনডো kore,0
shob বুড়ি বল,0
আমিও একে কিছু বলতে চায় কিন্তু টেকনিকেল চ্যানেল হাওয়াই কিছু বলতে পারিনা,1
ekdom thi,1
cccc ato karap,1
baler ranu di 😠😠😠😡😡😡,1
rastar petni tui fokirni magoni manos k somman janis na rastar tukai abar lomba lomba kotha,0
kochu gacha sutli dori diya atmahotha😆😆😆😆😆,1
"mirakel a dada dekhachi tomai,aj abr pothom youtube a dekha khub khusi holam",1
"akdom carrect bossss,,,,",1
সংযুক্ত ekjon vag tora sala boka চোদা,1
মোদির হাতে কেউ চা খেয়েছে আদোও,1
"বুক পকেটে রেখে লাইফ ভিডিও করেছে,,",1
ae madarchat channel টা bondho kora উচিত k প্রতি mot পছন্দ,1
ota ke or মায়া?,1
"দেখে,,তো, তাই,মনে হয়, পাগল, আর,ছাগল,,",1
ব্লিচি ehne koyel mallik.....kothai gelo...🙄🙄,1
দারুন টপিক।একদমই ঠিক ঠাক উওর।,1
যা তো চুদির ব্যাটা ২০০ টাকায় চুদবে আবার কত নাটক চোদায়😂😂🤣,0
অহংকার পতনের মূল. শালী ঢেমনী মাগী.বেইমান,0
ফুটন্ত,1
ranu মন্ডল ja বলেছে বেশ koreche,1
ভাই জাত ধর্ম বুঝি আপনার কথা অনেক সুন্দর,1
ভুল তো আপনাদের কিছু একটা পেলেই হলো ।,1
কোথায় go স্থান টা,1
ফ্রি জিডি এন ১০০% ri8 ei এইটা ভাবে টা ২ থেকে হয় প্রতি ekno r একন,1
আমরা কোন রাজ্যে a6i ???? নোগড়া মানুষ দ্য হয় মানুষ ধর্ষণ করলি করলি মেয়র take আংশিকভাবে felli?? এদের পারিয়া বার দরকার 6ilo,1
00966571456033 imo,1
"ভিডিও টা সত্যি খুব ভালো লেগেছে, কিন্তু কোয়েল মল্লিক জুতো মারল কোথায়।।।।।🤔🤔",1
👏👏👏👏👏,1
দাদা এখানে কেউ অভাবে আসে কেউ সভাবে আসে তাই এদের নিয়ে মজা করাই ভালো সবাই খারাপ,1
খুব চেনা প্রয়োগ করুন তোমাকে....দাদা তোমার bari কোথায়...???? বিষয় টা অসাধারণ....বইটি করছিলাম,1
রানুর তো লেখা পড়া নাই। এজন্যই তার কথা গুলো গুছিয়ে বলতে পারেন না।এই জন্যে মানুষ তাঁর কোথায় অনেক কষ্ট পায়।,1
"কোথায় কি হচ্ছে, শালা র পোদ ফাটছে, বালের ভিডিও দেখাচ্ছে,",0
"ডাব্লু da 🖕🏿 মণ্ডল,",1
উইকুক প্রতি উইকোকই থাকবে,1
মণ্ডল শনি আনুষ্ঠানিকতা,1
তুমি জ্যান্টি তুমি .তুমি catyr বল pagol অলৌকিক ঘটনা,0
"** সোমাজে purusho doshi হয় কিছু. মহিলাও doshi হয় কিছু. hijreo দোশি হয় কিছু. এখন চূড়ান্ত লেভেল jara শোনাও কাওরে তারা একপ্রকারের এটার. কিন্তু তাদের কাজকর্ম মরে কখনো পুরো সমাজ বা зте লিঙ্গ জাতির জেকোনো এক জাতিকে বিচার করা jayayna। dujon বেকতি দশ করলে অনেকসময় bhebe দেখতে hoy beshi মন্দ kar??!! নইলে এটাই হলো ব্যবসায় r gangrape কেস বা মনুআর moto কেস apnara কিছু ভিতরে, generally একহাতে তালিয়া আশ্রয় ............ **",0
"ধরনের যারা ভিডিও করে, তাদের কে জান্ত পুড়িয়ে মারা উচিৎ,",1
অপুর কথাই বোঝা যায় সে শাকিব সাথে চালাকি করেছে।ধর্ম নিয়ে শাকিবের সাথে নাটক করছে। শাকিব কে বলেছে সে মুসলিম হয়েছে সব বিশ্বাস ইসলাম সম্পর্কে অথচো সে মনে মনে হিন্দুই রয়ে গেছে।তাই তাদের বিয়েটা ইসলাম ধর্মমতে হয়নি। তাই বাচ্চাটা অবৈধ।তাই শাকিব যা করেছে সঠিক করেছে অপু রেন্ডি কে মেনে নিয়ে।,0
খুব সুন্দর আলোচনা করছেন,1
এটা কোথায়?,1
সালি ইংরেজি chodai.,0
khanki মাগি মণ্ডল,0
thik ভিডিও baniyo6o vai,1
জঘন্য .,1
মোল্লার bacha encounter kora uchit,1
khanki😡,0
ekdom thik কথা,1
পরিসংখ্যান e tik kotha,1
এবং to খানকি.....,0
akdm r8,1
এখন pagol o এবং মুখ তাই হাত bala,1
@হিয়াশা জামান হীর tor gusti chudi,1
"সেক্স কোনসম্পরকো মানে আমিজানি এটা উচিত নয় ,কিন্তু এটাই বাস্তব",1
হুমম তাই তো চাই সবাই,1
babar bichi dekhachis madar chod bhikari.,0
tor kothay lag6e,1
bara gula kete tader pande vare de,0
jio dada ki diyecho supar,1
vai supar 😘😘😘😘,1
হলো বালকাতার অবস্থা ।।। শালারা আবার বড় বড় কথা বলে।।।,1
tui pawar অগভীর ai asich?,1
3 প্রতি majumder হ্যাঁ যাবো,1
এদের কি মরণের চিন্তা নাই,1
"রেণ্ডিয়া তে চায়ে ওয়ালে মন্ত্রি হয়, ফকির জাতীয় শিল্পী হয়, মার্ডারার হনুমান পররাষ্ট্রমন্ত্রী হয়, গরু এদের মা হয় বাপ কেউ নয় কারন এইগুলা জারজ (সব এখানে আসবে কিছু জারজ দেখতে পারবেন), চোদানী গুলার পোঁদ মেরে ফেটে দাও।",0
পরিমনি একটা ফাতরা নাইকা চেয়ারাটা খুব সুনদর বলে কথা,1
gudd sot dada,1
অতীন্দ্র দেয় বোতামহোলস sujoger সোথ bebohar koreche,1
"যখন অতীন্দ্রদার মতো মানুষের প্রতি তার কোনো কৃতজ্ঞতা বোধ নেই । তখন টলিউড , বলিউডের যিনি তাকে যত উপরে নিয়ে যাবে এক দিন তার উদ্দেশ্যেই অশালীন মন্তব্য তার সম্মান হানি করবে মন্ডল। আসলে ছোট লোক সে ছোট লোকই হয়। আমার মতে ওকে জুতার মালা পরিয়ে সম্মান জানানো উচিত।",1
"যারা চি মন্তব্য করে৬ই...তারা ভালো basar মর্ম ta আর্ল কালো na...sotti ভালো বাসা বোরো choto, গরিব বোরলোক, জাট dekhe na....",1
বাহ !!,1
পতন খুব লোহা দূরে না।,1
হাম তমন রিপোর্টার...দুটো গন্ডু r আপনার সাইট থেকে ক্লাব আপনার সাইট থেকে গুলো দ্য পুরো গন্ডু,0
চল আছে তোর গ্যান কমান্ড ভালো লাগে,1
ফাঁসি দিতেই হবে. ভদ্রলোক ঘোটনা বললে চোলবে সাস্টির চোরগুলো বেবোস্টা করা হোক,1
রেন্ডি রানু..ও পুরো স্বাদ র্যান্ড,0
ভিক্ষুকের ভাব দেখো।বালের রানু।,1
তুমি একবার ঠিক বলেছো,1
কুকুরের পেটে ঘী হজম হয়,1
এক দাম ঠিক বলে চেন বুক আপনার সব কথা ঠিক,1
মনে অহং ভোরে রেখেছে মন্ডল,1
খানকি আহহহ্ বালের মন্ডল,0
জীবন কোনো দ্য কোয়া বিএ ডাকবো,1
ক ধনাত্মক সেখানে বৃষ্টি আমরা হ'ল খুদা রক্ষা করুন,1
"এদের বুথো সময় লাগেনা পোর্টিও সময় লাগেনা, নিজেকে প্যাচ আপ প্রদর্শন সাথে তুলনা করে, বদ্ধ পাগল ছাড়া বলবো জানিনা, ছোটোখাটো কোটি সাথে তুলনা করলেও কোথায় যেত, ছিল ভুলে গেছে শিল্পী হতে গেলে আগেই ভালো মানুষ হতে হয়",1
রেন্ডি,0
খানকি চমত্কার ...,0
মন্ডল ওর কপাল ভালো যে অতীন্দ্র চক্রবর্তী ওনার ভিডিওটা ভাইরাল করেছিল আজ তা কে বলছে চাকর কাল বলবে হিমেশ রেশমিয়া উনিও চাকর তারপরের দিন বলবে সালমান খান উনিও চাকর ভগবানের চাকর বা রানুদি বা,1
একটা খারাপ মহিলা,1
সাবস্ক্রাইব সিনেমাব্যাপ,1
পাগল ছাড়া কেউ সমর্থন ভিকারী,1
🙄🙄🙄🙄🙄🙄,1
খুন ভাব বলছো ভাই,1
জাহান্নামে জাবি বাঘ,1
[https://youtu.be/dfu4980noro।-শর্ট](https://youtu.be/dfu4980noro%e0%a5%a4-%e0%a6%b6%e0%a6%b0%e0%a7%8d%e0%a6%9f) ফিল্ম- কমেডি বাবা - কৌতুক বাবা নতুন সংক্ষিপ্ত ফিল্ম- এইচডি hd টো১৯) আমাদের নতুন চ্যানেলটি সাবস্ক্রাইব করুন।,1
এতো কথা বলে ওরে ওর জায়গায় বসিয়ে দেন ভিক্ষার ঝুলি নিয়ে। দোষ তো আপনার দেরেই। একটা কিছু নিয়ে অতিরিক্ত বাড়াবাড়ি করলে এমোনিয়া হয়।,1
"কেবল ঘোষণা বল hobe, পেনাল্টি to ajo holona 😠😠😠 তারপোর aabar era মানোনিয়ার ভোট ব্যাংক সম্প্রদায়",1
ঘর sali 2uiও পাগল,1
"দুটো আপদই বিদায় হয়ে খুব ভালো হয়েছে, সুস্থ সমাজের ক্যান্সার এরা, ছি ছি ছি এসব দেখে তো ভাইবোনের সম্পর্কের ওপর থেকেই বিশ্বাস নষ্ট হয়ে যাবে মানুষের, নিম্নরুচি হওয়ারও একটা লেভেল থাকে কিন্তু তাই বলে ভাই-বোনের অবৈধ সম্পর্ক যা কিনা সেক্স পর্যন্ত গড়িয়েছে.....ওয়াক থু ভাবতেই ঘেন্না করছে, সত্যিই অমানুষগুলো দেখতে অবিকল মানুষের মতোই হয়...",0
