monolingual,Sub-task B
arnab plans govt illegal immigrants how refugee prove religious persecution why shown selective compassion time activity nrc facts 20% population poverty line 30% adult population illiterate constitutes 50% women deprived basic time exercise beneficial don't cji goi wasted huge 16k rupees unsuccessful exercise live money extent trouble pain assam due reason pointed nrc npr opening step nrc reference scrollincorrect questions added npr indicators nrc exclusion process journalist assam pinches heart raises alarm value human land anymore strongly oppose nrc oppose caa amendment current situation was effective effort goi stop infiltration goi find ways treat goats questions thrown goi called representative goi time throwing moreover whats stuck stupid debates told everyone promote lies everyday nobody bothers anymore starting activist promotes lies facts arundhati different trust pmcji matter arundhati league cares stopped watching channel today change changed same insensitive arguments false narratives wish alternate narratives false also jfyi supported change govt regretting support political party anymore speak upa rule answer,1
good job,1
thanks brother explanation,1
nice shirt symbol brother,1
she social pollutant she arrested quick possible,1
lov video dada,1
hits people's mesmerism king because king justified,1
good job,1
total shit,1
nice review,1
wow amazing videos,1
santa claus,1
very throw homosexuals bloody rouge bloody deteriorating culture bann bloody gay judges,0
appreciate sayingi support takes,1
job jahangir,1
rong yarr,1
lady face urban naxaland paid western countries destroy giving provocative speechshe put bars,1
sussanne arundhati roy,1
"reading comment suggest book named ""incognito written david eagleman"" great book regreat reading",1
thanku sir you're awesome,1
msroy arrested immediately enticing public,1
now remember english speaking monarchy minded congress hippocrate communist polish shoes common room shoe rest,1
check news guy tiktok ashwani kumar murdered flight attendant obsessed uploading villain clips social media imitating,1
exactly absolutely thoughts please posting kinda videos appreciate work,1
nice vedio,1
absolutely dada,1
review joker,1
scary tube,1
anindita maity nice sister,1
its trick welcome,1
didn't video demeaning lgbt women alike guys ashamed which day age living hope cud spam videos,1
even lgbt standards i'm gay find drooling boys public pleasure type,1
spoil masterpieces,1
alpha male pack builder timid destroyer hides mask masculinity yes dumb girls extreme psychological issues fall gross codependency shing portrayal toxic codependency sane independent run miles away smells shing but embresses insane dominant dynamic bhai deep rooted psychological issues immediate therapy otherwise doomed friend opinion therapy ask makes imitate gross tatty very problematic,1
nice,1
media public bengali land women public television series,1
real purpose purpose makes lives meaningful,1
nice bro,1
your biggest,1
fuck feminism,0
brother platform completely agree thoughts,1
omg retard,1
super,1
your friend,1
nan,1
great job jahangir,1
nice apu didi,1
pratik borade master's degree physics iit kgp seriously reads books laughing feel pity feel pity wasting time dumb youtuber hasi patra some pls kill anymore,1
hmm,1
synonymous rickshawallah drink beat wife sex addicts sulk wives leave wonder make,1
from depth heart observe things share point views comment sir give heart,1
amritpal,1
bollywood lionize shit,1
reviewing political agenda,1
jhand perfect word,1
brother,1
nikita tiwari hey miss nikita lesbo join army fmly member gay middle finger salutes thnks commenting🤡,0
nice,1
yes,1
brother point totally,1
good job,1
spoiler alert 330httpswwwyoutubecomwatchv=n_zmfqmzos0&t=3m30s,1
good bai,1
what conservatives don’t sided side corrupted ignorant,1
right absolutely huge respect,1
rx100 review,1
ultimate gps,1
hero suffering false claim charged women husband law show case government realised law made justice leading blood violence,1
limits time pratik talk feminism liberalism idea surprised comments supporting views number followers below points feminists person gender bit common sense hurt- when lead actress asked loves according culture women supposed asked impose forcing intercourse knife crime country question feminism scene kind information liberals mentioned for pretty consider nathuram godse hero killing father nation mahatma gandhi case considered liberal nathuram godse spreading insanity naive person just read expand logical boundaries,1
basic ideology liberals feminists lot consider representatives ideas everyone remembers,1
favourite,1
killed bitch,0
what vacuum minded witch product may called ranga-billa such bookers award disgusting,0
inch mouth haaaaa,1
lesbian who single girlfriend soo,1
agree girl's comment god punish pandits molvi sahab's secretly padri sahabs inside churches world wide hahaha hypocrites,1
please give spoiler talk dark knight watch dark knight heath ledger acting joker,1
madam arundhati roy kapil sharma show insensible incompetence politics,1
+mr romantic pawan,1
thanks apu,1
everyone watch big slap useless,1
real review youtube,1
who considered watching watching trailer,1
real hero,1
copied copycat bollywood,1
good,1
guys sense,1
akdam bolechen dada,1
<httpsyoutubec-lryevxeva> review rply plzz must needed,1
government waiting interfere intelligence mouth shut,1
sir plz comment,1
super boss,1
great regularly share booksmoviesshort films constructive nature ways entertainment remember starting book club 'homo sapiens' book initiatives much support respect,1
luck 2018,1
take notes fight club tyler durden badass coolest ever writer negative inspiration things end favour telling,1
arundhati roy disgrace indiait's sad,1
shwetabh hear thoughts joker great,1
doctori realized work physique stay fitthats itrest bullshit,1
basically naam' radhe drugs,1
wonderful videoooo,1
who fuck told stupid asshole lgbt culture culture read vedas just banned jerk king britain 15th century happened western culture removed law accepted earlier ready talk topic they brought law removed law but country culture saale,0
metal,1
hate hatred doubt shahid acting nailed role but kind made bollywood producing crap small pinch 'love' they grow even indians grow,1
medico hours daily study pass annual exams mbbs atleast,1
that ranu mondal fault that educational problem,1
best review,1
great work sir,1
whatsapp number is+96565897567,1
nice,1
right boss,1
nyc video,1
yeah,1
"bollywood garbage trailer called ""adventures srimannarayana""",1
agree lot but lot things make sense develops felt artificial forced organically really feminism misogynist make sense,1
finally thank mensutra video,1
how joker please review,1
exactly completely agree,1
hahaha,1
plsssss make review tamil romeo juliet,1
answers arnab ayk minute minute,1
answer pseudo liberals pseudo feminists,1
mart,1
'toxic' 'sexy',1
share dis evryone,1
homosexual birth scientific genetic proof arises tired natural process basically arising pornography vulgarity openly viewed displayed majority prone grow tired nature tend find pleasure nature support decent content media promote early marriages abstain taboo ofcourse homosexuality sign day judgement muslims believe seek forgiveness allah his blessings #freedomofspeechhttpwwwyoutubecomresultssearch_query=%23freedomofspeech day,0
filling lungs smoke dying cancer men,1
nan,1
review fake liberals prateek sirkeep honesty,1
read blog post today defame giving reviews they called arjun reddy grade that's disgusting,1
chutiye liberals pesad femininity,0
"hominem"" saw content long time good job",1
ritwik sinha perfect,1
all promote feminazism even english indoctrination tools hypnotize masses slave women these unhealthy destructive addiction,0
flawia egnis bitch,0
arundati roy pagal kutia,0
films why reduces competition after watching teenagers adults started they destroyed 3-4 years competition,1
epic,1
absolutely,1
agree,1
well keep,1
please put gay light even gay proud kill sake happiness,1
sucharita ugly atleast bark ugly,0
hit shwetabh bhai give review major bollywood releasing give youths direction,1
stop straight yes stupid sound,0
army chief correct gays allowed arm forces much sauk surrey sixes pubg khelo,0
long entertains bangladesh problems names accused shows religion impose teachings society corrupted case shook administration support common madhyamgram kamduni park street case ashamed,1
talk most fanpages social media,1
country intellectuals arundhati roy respected bound degradeshe intelligent hired criminal journalist slap house npr they adhaar card nsso organisation carrying social survey actually npr sin garb showing kind social surveybjp decline started witness free fall,1
case happen gay high rank officers forcely asked sex promotion leave transfer financial benefit gay group discriminate normal friend group make fun group indians mature deal situation generally countryside join defence ugly truth gay couple emotional attachment harsh step critical condition aggression defensive interested long living partners,0
feminism socioeconomic equality rape how bizzare feminism equal opportunity responsibility,1
correct fully agree,1
saddd today i'm clear case director police file make episode,1
thank making video brother waiting review didnot watch review youtube juding point agreed points bcz songs scenes dislike agree watching video understood confusion hope make videos future,1
pratik borade <https youtube 3qd3sf6jp2o>,1
ajay kumar gupta ase populated country worldfor kind information anythingi straightbut support lgbt,1
133httpswwwyoutubecomwatchv=jpxulgfrt0k&t=1m33s gta,1
perfect review attraction opposide zender btt dedication loyality also human btt pure everybody make mistakes loyal good,1
very nice,1
modern feminism cancer society prove,1
there toxic masculinity its masculinity,1
nan,1
she jailed immediately,1
missed omggg educating sir,1
don't mix liberalism feminism delusional understand wat problem feel videos unsubscribing hope daughter,1
call lke arundhati roy intellectual absurd who granted declared intellectual press leftist cronies millions educated writers deeply involved bringing social ethnic problems fore she orm over rated mediocre her writings pessimistic rudderless leftist propaganda she mediocre pumped previous elite institutions her writings helped beings beasts poor neglected her recent statement middle class school student treated contempt disgrace shame stupid lady,0
bro book kha aapko can wait buy gift loved,1
nailed,1
arnab exposing urselfjust debate work govt possible expose owenerbjp journalist,1
yess,1
deserve million subscribers,1
"people ""movies affect real life"" indias made temples actors prey god",1
well sir,1
she provoking peoples government give remaining years time current government she thread national security opinion welcome significant proofs support bjp modi possible manner,1
it's message gave lot,1
omg horrible,1
arnob corrupt fake biggest liar journalist business faking evening,1
supreme court wife misuse law,1
verge impressed queer perspective raazi mulk coz opposite but knocked continue god bless subscribers,1
it’s gay rights gay marriage problem lies access kids coming closer that’s i’m racist blacks gays feel strongly left kids it’s opinion don’t i’m,0
akshay viswambharan ditching bible god leads godless society moralsjust west rejected god bible immoral hopeless with jesus blessing hell forever evergive jesus timei bringer truth yougod witness day judgement,1
critic,1
congress crminial mindset,1
dowry domestic violence justice for men team nexus ngo non profit non govt organization engaged social work serve families seek assist resolve recover minor domestic disputes tussle allegations these families suffer trauma depression attempts our priority save family mending bitter relationship reality allegations irrespective gender directly indirectly support victims domestic dispute domestic violence family tension affects walks gender sexual orientation race men particular suffer lack recognition awareness society lack local services available support travesty justice silently ignore felt sting false accusations made women domestic violence anti dowry act 498a resolved prevent injustice continuing stop wish male victims fight injustice side system are male victim are neither “weak” nor “alone” call for emotional legal support 09814055672 chandigarh,1
superv,1
calling chutiya chopra debate knew gabr job poen office,0
back railway station,1
dada,1
+truthdemon personally it's relation pain relation pain bigger blood relationship,1
sir great big fan,1
videos interesting subscribed channel,1
after watching liberal meltdown funny,1
wtf sayin conning,1
agree firmly felt,1
sir joker plzzzzzz,1
nice dada,1
fishing fame holy dropout druggee battered tamil filmdom wasted now necessity relevant price ass,0
rahul kashiv who,1
doggy style,1
right speech,1
arnab great job country,1
explanation super bayya,1
motivating youth direction efforts guys understand power simplicity elegance bit complex medicine cut throat competition studies pressure time course related real,1
loved song rocked who loved hit showing story doctor,1
can’t suppress truth roy amazing human speaks truth express views,1
great review sir,1
first homosexual demonic spirit rule nature,0
hit **ganesha gaitonde ** ego brahmasmi,1
kya baat bede happy lion roastyes finally,1
glve weapon hands girls result,1
pet dog loves family,1
most bullshit channel,1
ilove mrinmoy video god,1
"very analysis ""kabir singh's shown irresponsible rich spoilt brat survived financial background unlike commoner""",1
mental,1
omg,1
lovershit likehere,1
series gay,0
supreme court journalist transgender paida hui,0
sucharita tyagi biggest hypocrite loved swara bhaskar rebel veere wedding,1
**i stopped watching bollywood watching gangs wasseypur**,1
vaiya nice videoi,1
not agree,1
1634 haha sir boys huh anger ajata huh rape huh haat wake up huh justify comparing,1
bollywood remake whiplash taxi driver,1
peoples now good 1god 2mom 3my teacher 4swetabh gangwar,1
defending dayneis home made,1
simple decide offense mind imagine sister care preethi's shoes husbandlover run find kabir's action preeti offensible correct slapping kissing permission incorrect faults,1
depressed don’t understand ‘consent’,1
when start watch uninterested doubted worth watching but guys proved well hope aware lgbtq they normal human beings girls end act mind-blowing performance,1
brother70% bollywood definitely chutiyapa,1
she mental author,1
right vhaiya,1
lol feminism believe dictionary meaning believed equality support egalitarianism instead feminism,1
1000%,1
simple showing women flawed abusive men have women families father abusive mother quiet lives loves actually women men female gabir flaw that’s that’s flaws gabir flawed women that’s there films made tamil films decade idea appeal audience male dominated show angry person lives gal madly changed time showed sensibly acted surya mohabbat dushman acted vikram tamil called sethu redone hindi salman khan tere naam gabir rip two characters female characters rip female characters films timid characters director idea writing arjun reddy films,1
nicevedio,1
"homosexuality natural not condemn reclaim fallen practice believing changed stage stage leave pass kind judgment brothers sisters question asked perversion deviation cause god created universe universe obey him his law sun obeys law created moon stars planet earth obeys law creation creation creature deviates law created planet moves orbit disobeying law fraction astronomers bear witness care find ant bee fowl fish they obey nature created men created deviate nature created planet earth created incline plain orbit 23°c minutes planet inclines plain orbit natural inclination leaning nature inclined female female nature leans now deviation made years ago original made opposite nature natural made deviate natural god made opposser natural deviates natural course his style deviation bible changed ""truth"" god lie pervert truth god make lie system perversion deviation brothers africa walking broken wrists taught learned behavior un-learn behavior scripture ""as thinketh make woman ""thought"" powerful projects totally man's brain begins reshape material thinks woman face features movements begins change thoughts scripture behold sovereign lord make things new"" ride deviation bring back natural order created place mans brain bring idea idea reshape ""matter"" change form change expression there homosexual changed ""lesbian"" changed god change growth bring back natural order created",0
nupur mad shout arnab anchor nupur shouting shitty words long,1
achyuth thouta hate hate peoples but south distraction,1
7079116531 hii,1
same waiting video,1
nan,1
perfect bollywood porn wood copywood,1
hasan sardar earth,1
sweet,1
homosexual buses clapping dancing its army army represent country general sir,0
sir plzz sir titanic plzz,1
real mind pure ery learn 1540 https youtube com watch v=j2j5sssp5yq&t=15m40s excelent,1
nan,1
fyy,1
homosexual person proud homosexuality according constitution genders homosexuality legal homosexuality transgenders means obeying constitution ncc cadet ncc news army officers soldiers sexually abuse girlish innocent witness heard ncc period next made physical relationship men working defence forces forward defence homosexual there closet second news soldiers abused physically harassed girls homosexual join defence tease harass straight soldiers homosexual normal prostitute sex time please don’t respect transgender homosexual don’t but respect constitution legalised according ramayana ram god kalyug may hijaray raj god bless homosexual brother,0
dada,1
nice video bass,1
burnol,1
soo fucked understand else's perspectiveyou correctlmao,1
9777070288,1
problem main parents payunga,1
video sucharita tyagi companion,1
take steps corruption free govt,1
terrorism natural calamities needed destroy mankind appreciate idolize characters destruction happen automatically eventually,1
feminists modern age fascist,1
rightly kishwar 'lunatic fringe' 'wacko' i'm adding 'bitch',0
**who missing londe**,1
dude sandeep vanga watch yaar,1
amazing superb,1
nice message,1
well justice delivered,1
lady,1
honest review tight slap called feminist jaipur rajasthan,1
exat,1
ardhendu dasgupta xxx,1
arjun reddy kabit,1
misogynist sexist dogs are barking comment section,1
nice,1
isn't sexy,1
contact 8638171924,1
also depends audience actor freak deal repercussions fail condone dominant behavior actor also count feminist stupid category appreciate romance madness breakup,1
moon star there unwanted guests house wife earning working hard improve economic conditions family long guests uninformed children's resources contributing family furtherthese issues long unresolved inspite supreme court's suggestion resolved urgently above mislead guests fight family members illegallyshame call intellectual,1
jatin yadav still singhstill great martian mission mangalenjoy day buddy,1
arundhati's hair crow nest,1
honest understood things,1
there sayingtwo pair breasts connot room,0
great,1
these types live pakistan peace,1
very nice,1
bollywood characters influenced previous generation bollywood characters,1
i'm feminist totally agree masterpiece,1
why bothered join congress,1
oooooooooo no‍‍‍‍‍‍‍‍,0
just wow,1
rock kha ryt,1
sir pls put viewson joker movieplz possible,1
stupid but videos shwetabh realise dumb,1
modi damage enemy,1
guys don’t point there caa npr nrc proposed problem caa combined nrc duh,1
#trendinghttpwwwyoutubecomresultssearch_query=%23trending,1
soo nice,1
these days indians give fuck idiots there sole agenda make creative biased stories liberals feminists jump roof cares his dark phase villan how overcomes behave,1
hindi,1
simple taking sexual equality investigation police arrested male member case found false female punished,1
ranu mandal woman,1
fabuloustotally agree you100%truth,1
hahahaha niceeee justification,1
ahalyaa namid sorry i'll give number text whatsapp college starts i'll busy,1
"well arnab sais madhu kishwar nupur guess time stop giving ""fringe lunatic"" fake liberal leftist woman called arundhati roy media attention everything fake feel media attention",1
dear,1
just waiting review,1
ironic comment,1
suppress totally depraved wacko arundati,1
watch tonight,1
watch bollywood makers make fool ppl play crores generation bchana bollywood boycott kro,1
abandon watch bollywood year ago,1
nan,1
video,1
likes made passion relationship,1
ending powerful judged preethi pregent reallyit kinda emotional scene,1
<httpswwwyoutubecomchannelucyikfisk_p0nug3wrvq7v7a> plzz plzz subscribe asha kori kharap lagbena cinebap job grt fan,1
like video nice,1
bhai naam arjun reddy because end naam showed consequences happened radhe not arjun reddy temporary radhe permanent,1
wear t-shirt public hats,1
feminists talk rights time awesome feminists feminist talk responsibilities,1
good job boss,1
100% agree,1
senseless debate,1
whole video,1
nothing statementall feminism realthose called fake feminismfirst understand difference themthis promotes drugsmoking alcohol,1
woww,1
joker review,1
supbbb video,1
arundati roy,1
awaiting book,1
fantastic vdo,1
wonder feminists watching fifty shades trilogy,1
boys cute,1
beauty bhaithumbs,1
doctors watch watching watch pratik borade's review,1
videos sir bhot hard very hard,1
rgt,1
missguided minorities totally provide correct information poor suffer she wanted poor suffer,1
kalyan kranthi feeling,1
saurabh address 7rcr 7lkm,1
censor board beep abusive words hindi language moviewhy english,1
even shahid role,1
boss,1
thank brother,1
same sex marriage valid,1
**shut feminist bitch**,0
nice boss vii,1
relate extent understand motive type parents they parents how inspire kids torture reason what purpose it's understanding,1
godi media shut,1
