ID,Text,Sub-task A,Sub-task B,clean text,tokenized,normalized lexicon,monolingual
C10.353,she best arbitrator in kamatipura & sonargachi area settlements,NAG,NGEN,arbitrator kamatipura sonargachi area settlements,"['arbitrator', 'kamatipura', 'sonargachi', 'area', 'settlements']","['arbitrator', 'kamatipura', 'sonargachi', 'area', 'settlements']",arbitrator kamatipura sonargachi area settlements
C4.2138.1,Yeah man **Fuck Bollywood** and become **mature** in real life!,NAG,NGEN,yeah man **fuck bollywood** **mature** real life,"['yeah', 'man', '**fuck', 'bollywood**', '**mature**', 'real', 'life']","['yeah', 'man', '**fuck', 'bollywood**', '**mature**', 'real', 'life']",yeah man **fuck bollywood** **mature** real life
C59.1085,"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like",CAG,NGEN,calls uneducated person means unexpected behavior thoko,"['calls', 'uneducated', 'person', 'means', 'unexpected', 'behavior', 'thoko']","['calls', 'uneducated', 'person', 'means', 'unexpected', 'behavior', 'thoko']",calls uneducated person means unexpected behavior thoko
C4.2120.2,"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NAG,NGEN,sahi logic level ---- bollywood,"['sahi', 'logic', 'level', '----', 'bollywood']","['right', 'logic', 'level', '----', 'bollywood']",right logic level ---- bollywood
C38.482,its not good i think its all dimaghi keeda being a gay or lesbian..,NAG,GEN,dimaghi keeda gay lesbian,"['dimaghi', 'keeda', 'gay', 'lesbian']","['dimaghi', 'keeda', 'gay', 'lesbian']",dimaghi keeda gay lesbian
C4.1274,giving the movie review of super 30?,NAG,NGEN,giving movie review super,"['giving', 'movie', 'review', 'super']","['giving', 'movie', 'review', 'super']",giving movie review super
C9.159,"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NAG,NGEN,saurabh dwivedi sir appreciate maintaining neutral view point media modi loving 2nd modi hating but neutral,"['saurabh', 'dwivedi', 'sir', 'appreciate', 'maintaining', 'neutral', 'view', 'point', 'media', 'modi', 'loving', '2nd', 'modi', 'hating', 'but', 'neutral']","['saurabh', 'dwivedi', 'sir', 'appreciate', 'maintaining', 'neutral', 'view', 'point', 'media', 'modi', 'loving', '2nd', 'modi', 'hating', 'but', 'neutral']",saurabh dwivedi sir appreciate maintaining neutral view point media modi loving 2nd modi hating but neutral
C10.155,"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG,GEN,why indian government actions talk nation involved instigating sort violence disturbing peace nation freedom speech anti-national this bitch arundhati roy statements anti-national numerous occasions living freely it's high time government pass law bastards matter,"['why', 'indian', 'government', 'actions', 'talk', 'nation', 'involved', 'instigating', 'sort', 'violence', 'disturbing', 'peace', 'nation', 'freedom', 'speech', 'anti-national', 'this', 'bitch', 'arundhati', 'roy', 'statements', 'anti-national', 'numerous', 'occasions', 'living', 'freely', ""it's"", 'high', 'time', 'government', 'pass', 'law', 'bastards', 'matter']","['why', 'indian', 'government', 'actions', 'talk', 'nation', 'involved', 'instigating', 'sort', 'violence', 'disturbing', 'peace', 'nation', 'freedom', 'speech', 'anti-national', 'this', 'bitch', 'arundhati', 'roy', 'statements', 'anti-national', 'numerous', 'occasions', 'living', 'freely', ""it's"", 'high', 'time', 'government', 'pass', 'law', 'bastards', 'matter']",why indian government actions talk nation involved instigating sort violence disturbing peace nation freedom speech anti-national this bitch arundhati roy statements anti-national numerous occasions living freely it's high time government pass law bastards matter
C4.1106.1,Exactly. That was 100000000000x better than shitty kabir singh.,NAG,NGEN,exactly that 100000000000x shitty kabir singh,"['exactly', 'that', '100000000000x', 'shitty', 'kabir', 'singh']","['exactly', 'that', '100000000000x', 'shitty', 'kabir', 'singh']",exactly that 100000000000x shitty kabir singh
C4.1751,Chhichhore review,NAG,NGEN,chhichhore review,"['chhichhore', 'review']","['shallow', 'review']",shallow review
C63.205.2,@mohammad ismail xc,NAG,NGEN,mohammad ismail,"['mohammad', 'ismail']","['mohammad', 'ismail']",mohammad ismail
C7.240,"feminism means equality not discrimination first you should learn about this
go and study about feminism.",OAG,NGEN,feminism means equality discrimination learn study feminism,"['feminism', 'means', 'equality', 'discrimination', 'learn', 'study', 'feminism']","['feminism', 'means', 'equality', 'discrimination', 'learn', 'study', 'feminism']",feminism means equality discrimination learn study feminism
C4.2144.2,Like Baahubali.,NAG,NGEN,like baahubali,"['like', 'baahubali']","['like', 'baahubali']",like baahubali
C7.2578,"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG,NGEN,blockbuster kabir singh yes like comment shahid from rebal star prabhas fans,"['blockbuster', 'kabir', 'singh', 'yes', 'like', 'comment', 'shahid', 'from', 'rebal', 'star', 'prabhas', 'fans']","['blockbuster', 'kabir', 'singh', 'yes', 'like', 'comment', 'shahid', 'from', 'rebal', 'star', 'prabhas', 'fans']",blockbuster kabir singh yes like comment shahid from rebal star prabhas fans
C4.1394,"Full support 💪🙌 bro  
Keep it up 👍",NAG,NGEN,full support keep,"['full', 'support', 'keep']","['full', 'support', 'keep']",full support keep
C10.431,"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG,NGEN,literally imagine scenario i'd watching content channel leave penning comment personally abhor propaganda infused right-wing program reported multiple times it's interest nation ceases exist digital platforms confined television nevertheless needed thoughts chest stop broadcasting staged debates resemble poorly produced b-grade flicks the background score intro participants bickering neighborhood aunties dignified panelists stink sub-standard nonsense stop fooling public instead nonsense hell show home minister successfully confused nation literally behaving clueless self-contradicting juveniles with days left 2020 nation overcome confines religion high hopes country started believing achieve great heights field science technology put big leagues weighed archaic concept read religion ensured progress goal reaches note republic instead showing nonsense anti-nationals lutyens focus key items deterring nation unemployment poor economyetc the mass care sub-standard reporting ridiculous theories they concrete information news channels provide,"['literally', 'imagine', 'scenario', ""i'd"", 'watching', 'content', 'channel', 'leave', 'penning', 'comment', 'personally', 'abhor', 'propaganda', 'infused', 'right-wing', 'program', 'reported', 'multiple', 'times', ""it's"", 'interest', 'nation', 'ceases', 'exist', 'digital', 'platforms', 'confined', 'television', 'nevertheless', 'needed', 'thoughts', 'chest', 'stop', 'broadcasting', 'staged', 'debates', 'resemble', 'poorly', 'produced', 'b-grade', 'flicks', 'the', 'background', 'score', 'intro', 'participants', 'bickering', 'neighborhood', 'aunties', 'dignified', 'panelists', 'stink', 'sub-standard', 'nonsense', 'stop', 'fooling', 'public', 'instead', 'nonsense', 'hell', 'show', 'home', 'minister', 'successfully', 'confused', 'nation', 'literally', 'behaving', 'clueless', 'self-contradicting', 'juveniles', 'with', 'days', 'left', '2020', 'nation', 'overcome', 'confines', 'religion', 'high', 'hopes', 'country', 'started', 'believing', 'achieve', 'great', 'heights', 'field', 'science', 'technology', 'put', 'big', 'leagues', 'weighed', 'archaic', 'concept', 'read', 'religion', 'ensured', 'progress', 'goal', 'reaches', 'note', 'republic', 'instead', 'showing', 'nonsense', 'anti-nationals', 'lutyens', 'focus', 'key', 'items', 'deterring', 'nation', 'unemployment', 'poor', 'economyetc', 'the', 'mass', 'care', 'sub-standard', 'reporting', 'ridiculous', 'theories', 'they', 'concrete', 'information', 'news', 'channels', 'provide']","['literally', 'imagine', 'scenario', ""i'd"", 'watching', 'content', 'channel', 'leave', 'penning', 'comment', 'personally', 'abhor', 'propaganda', 'infused', 'right-wing', 'program', 'reported', 'multiple', 'times', ""it's"", 'interest', 'nation', 'ceases', 'exist', 'digital', 'platforms', 'confined', 'television', 'nevertheless', 'needed', 'thoughts', 'chest', 'stop', 'broadcasting', 'staged', 'debates', 'resemble', 'poorly', 'produced', 'b-grade', 'flicks', 'the', 'background', 'score', 'intro', 'participants', 'bickering', 'neighborhood', 'aunties', 'dignified', 'panelists', 'stink', 'sub-standard', 'nonsense', 'stop', 'fooling', 'public', 'instead', 'nonsense', 'hell', 'show', 'home', 'minister', 'successfully', 'confused', 'nation', 'literally', 'behaving', 'clueless', 'self-contradicting', 'juveniles', 'with', 'days', 'left', '2020', 'nation', 'overcome', 'confines', 'religion', 'high', 'hopes', 'country', 'started', 'believing', 'achieve', 'great', 'heights', 'field', 'science', 'technology', 'put', 'big', 'leagues', 'weighed', 'archaic', 'concept', 'read', 'religion', 'ensured', 'progress', 'goal', 'reaches', 'note', 'republic', 'instead', 'showing', 'nonsense', 'anti-nationals', 'lutyens', 'focus', 'key', 'items', 'deterring', 'nation', 'unemployment', 'poor', 'economyetc', 'the', 'mass', 'care', 'sub-standard', 'reporting', 'ridiculous', 'theories', 'they', 'concrete', 'information', 'news', 'channels', 'provide']",literally imagine scenario i'd watching content channel leave penning comment personally abhor propaganda infused right-wing program reported multiple times it's interest nation ceases exist digital platforms confined television nevertheless needed thoughts chest stop broadcasting staged debates resemble poorly produced b-grade flicks the background score intro participants bickering neighborhood aunties dignified panelists stink sub-standard nonsense stop fooling public instead nonsense hell show home minister successfully confused nation literally behaving clueless self-contradicting juveniles with days left 2020 nation overcome confines religion high hopes country started believing achieve great heights field science technology put big leagues weighed archaic concept read religion ensured progress goal reaches note republic instead showing nonsense anti-nationals lutyens focus key items deterring nation unemployment poor economyetc the mass care sub-standard reporting ridiculous theories they concrete information news channels provide
C4.1512,I was waiting for it.... Very honest opinion,NAG,NGEN,waiting very honest opinion,"['waiting', 'very', 'honest', 'opinion']","['waiting', 'very', 'honest', 'opinion']",waiting very honest opinion
C59.1980,OMG 😱,NAG,NGEN,omg,['omg'],['omg'],omg
C33.76,Llovu,NAG,NGEN,llovu,['llovu'],['llovu'],llovu
C59.924,You are Right broo thanks,NAG,NGEN,you right broo,"['you', 'right', 'broo']","['you', 'right', 'broo']",you right broo
C10.333,"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NAG,NGEN,castigating citizens direspect country law donkys gave booker prize mocking insulting country behaving wicked crafty woolf shame wampnthi chutyapnti jai hnind jay jagat,"['castigating', 'citizens', 'direspect', 'country', 'law', 'donkys', 'gave', 'booker', 'prize', 'mocking', 'insulting', 'country', 'behaving', 'wicked', 'crafty', 'woolf', 'shame', 'wampnthi', 'chutyapnti', 'jai', 'hnind', 'jay', 'jagat']","['castigating', 'citizens', 'disrespect', 'country', 'law', 'donkys', 'gave', 'booker', 'prize', 'mocking', 'insulting', 'country', 'behaving', 'wicked', 'crafty', 'woolf', 'shame', 'wampnthi', 'chutyapnti', 'jai', 'hnind', 'jay', 'jagat']",castigating citizens disrespect country law donkys gave booker prize mocking insulting country behaving wicked crafty woolf shame wampnthi chutyapnti jai hnind jay jagat
C33.785,"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)",NAG,NGEN,watch amazing video httpswwwyoutubecomwatchv=s6g_w2ntcvq&app=desktophttpswwwyoutubecomwatchv=s6g_w2ntcvq&app=desktop,"['watch', 'amazing', 'video', 'httpswwwyoutubecomwatchv=s6g_w2ntcvq&app=desktophttpswwwyoutubecomwatchv=s6g_w2ntcvq&app=desktop']","['watch', 'amazing', 'video', 'httpswww youtube comwatchv=s6g_w2ntcvq&app=desktophttps youtube comwatchv=s6g_w2ntcvq&app=desktop']",watch amazing video httpswww youtube comwatchv=s6g_w2ntcvq&app=desktophttps youtube comwatchv=s6g_w2ntcvq&app=desktop
C26.284,hats off brother,NAG,NGEN,hats brother,"['hats', 'brother']","['hats', 'brother']",hats brother
C7.1599,Too much spoiler 🙄🙄🙄 Change Title 😒😒,NAG,NGEN,too spoiler change title,"['too', 'spoiler', 'change', 'title']","['too', 'spoiler', 'change', 'title']",too spoiler change title
C10.628,"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NAG,NGEN,catch noif fial complian agaist court punish put jailbut cantthis factshe danderous lady helplesscourt reluktunt punish,"['catch', 'noif', 'fial', 'complian', 'agaist', 'court', 'punish', 'put', 'jailbut', 'cantthis', 'factshe', 'danderous', 'lady', 'helplesscourt', 'reluktunt', 'punish']","['catch', 'noif', 'fial', 'complian', 'against', 'court', 'punish', 'put', 'jailbut', 'cantthis', 'factshe', 'dangerous', 'lady', 'helplesscourt', 'reluktunt', 'punish']",catch noif fial complian against court punish put jailbut cantthis factshe dangerous lady helplesscourt reluktunt punish
C7.1035,"By the way i myself being a 21st century modern girl, i did not watch four
more shots as i found the trailer and the interviews of the cast very
disturbing. Feminism is losing it’s real agenda i.e equality of gender, but
becoming an advocate of all sort of sexual shit. Feminism is much more than
sexual freedom, i request all my fellow girls to not get carried away by such
ideas.",CAG,NGEN,21st century modern girl watch shots found trailer interviews cast disturbing feminism losing it’s real agenda equality gender advocate sort sexual shit feminism sexual freedom request fellow girls carried away ideas,"['21st', 'century', 'modern', 'girl', 'watch', 'shots', 'found', 'trailer', 'interviews', 'cast', 'disturbing', 'feminism', 'losing', 'it’s', 'real', 'agenda', 'equality', 'gender', 'advocate', 'sort', 'sexual', 'shit', 'feminism', 'sexual', 'freedom', 'request', 'fellow', 'girls', 'carried', 'away', 'ideas']","['21st', 'century', 'modern', 'girl', 'watch', 'shots', 'found', 'trailer', 'interviews', 'cast', 'disturbing', 'feminism', 'losing', 'it’s', 'real', 'agenda', 'equality', 'gender', 'advocate', 'sort', 'sexual', 'shit', 'feminism', 'sexual', 'freedom', 'request', 'fellow', 'girls', 'carried', 'away', 'ideas']",21st century modern girl watch shots found trailer interviews cast disturbing feminism losing it’s real agenda equality gender advocate sort sexual shit feminism sexual freedom request fellow girls carried away ideas
C68.1288,Ranu is a bad girl 👍👍😸😆😂,NAG,NGEN,ranu girl,"['ranu', 'girl']","['ranu', 'girl']",ranu girl
C58.442,"Looks like a ghost, real conjuring",CAG,NGEN,looks ghost real conjuring,"['looks', 'ghost', 'real', 'conjuring']","['looks', 'ghost', 'real', 'conjuring']",looks ghost real conjuring
C4.1389,The world needs more men like you,NAG,NGEN,the world men,"['the', 'world', 'men']","['the', 'world', 'men']",the world men
C7.1876,**Correct**,NAG,NGEN,**correct**,['**correct**'],['**correct**'],**correct**
C7.1986.1,"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG,NGEN,pratik borade mins video recommend write dictionary sorry dictionaries cambridge merriam webster,"['pratik', 'borade', 'mins', 'video', 'recommend', 'write', 'dictionary', 'sorry', 'dictionaries', 'cambridge', 'merriam', 'webster']","['pratik', 'borade', 'mins', 'video', 'recommend', 'write', 'dictionary', 'sorry', 'dictionaries', 'cambridge', 'merriam', 'webster']",pratik borade mins video recommend write dictionary sorry dictionaries cambridge merriam webster
C4.1285,"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality.",NAG,NGEN,the bollywood premise showing life dream realism it's form escapism reality,"['the', 'bollywood', 'premise', 'showing', 'life', 'dream', 'realism', ""it's"", 'form', 'escapism', 'reality']","['the', 'bollywood', 'premise', 'showing', 'life', 'dream', 'realism', ""it's"", 'form', 'escapism', 'reality']",the bollywood premise showing life dream realism it's form escapism reality
C4.1622,"Salute to you sir,great thinking",NAG,NGEN,salute sirgreat,"['salute', 'sirgreat']","['salute', 'sirgreat']",salute sirgreat
C57.6,"Watch this song..Awesome
<https://youtu.be/4Ax1099ML-Q>",NAG,NGEN,watch songawesome <httpsyoutube4ax1099ml-q>,"['watch', 'songawesome', '<httpsyoutube4ax1099ml-q>']","['watch', 'songawesome', '<httpsyoutube4ax1099ml-q>']",watch songawesome <httpsyoutube4ax1099ml-q>
C59.1974,Very very nice Bor,NAG,NGEN,very nice bor,"['very', 'nice', 'bor']","['very', 'nice', 'bor']",very nice bor
C33.193,Very nice video,NAG,NGEN,very nice video,"['very', 'nice', 'video']","['very', 'nice', 'video']",very nice video
C4.1177.3,Epic movie,NAG,NGEN,epic movie,"['epic', 'movie']","['epic', 'movie']",epic movie
C4.1318,"I had head ache during this movie and also post movie.. I simply hated the
movie , completely disagreed and indigestible plot... & people were like how
can u dislike the movie.. whereas I'm shocked what is there to be liked except
the songs...",OAG,NGEN,head ache movie post movie simply hated movie completely disagreed indigestible plot dislike movie i'm shocked songs,"['head', 'ache', 'movie', 'post', 'movie', 'simply', 'hated', 'movie', 'completely', 'disagreed', 'indigestible', 'plot', 'dislike', 'movie', ""i'm"", 'shocked', 'songs']","['head', 'ache', 'movie', 'post', 'movie', 'simply', 'hated', 'movie', 'completely', 'disagreed', 'indigestible', 'plot', 'dislike', 'movie', ""i'm"", 'shocked', 'songs']",head ache movie post movie simply hated movie completely disagreed indigestible plot dislike movie i'm shocked songs
C59.327,Super bro,NAG,NGEN,super,['super'],['super'],super
C44.86,"Good job,,plz sub",NAG,NGEN,good jobplz,"['good', 'jobplz']","['good', 'jobplz']",good jobplz
C7.2582,Weren't you a liberal yourself?😂,NAG,NGEN,weren't liberal,"[""weren't"", 'liberal']","[""weren't"", 'liberal']",weren't liberal
C4.1291,That is why I like amir khan,NAG,NGEN,that amir khan,"['that', 'amir', 'khan']","['that', 'amir', 'khan']",that amir khan
C7.1353,Best film for sahid Kapoor,NAG,NGEN,best film sahid kapoor,"['best', 'film', 'sahid', 'kapoor']","['best', 'film', 'sahid', 'kapoor']",best film sahid kapoor
C26.294.4,"If you are a man then you are a fool of india..now women are fighting for
men...do you know that?",CAG,NGEN,man fool indianow women fighting mendo,"['man', 'fool', 'indianow', 'women', 'fighting', 'mendo']","['man', 'fool', 'indianow', 'women', 'fighting', 'mendo']",man fool indianow women fighting mendo
C10.427,"This mentally ill Lady is a barking Street dog whose intentions to pull
people's attention that she is alive",NAG,GEN,this mentally ill lady barking street dog intentions pull people's attention alive,"['this', 'mentally', 'ill', 'lady', 'barking', 'street', 'dog', 'intentions', 'pull', ""people's"", 'attention', 'alive']","['this', 'mentally', 'ill', 'lady', 'barking', 'street', 'dog', 'intentions', 'pull', ""people's"", 'attention', 'alive']",this mentally ill lady barking street dog intentions pull people's attention alive
C10.967.5,"Ram Raja - she is a female dog - who can’t even keep a husband - married and
separated twice because she likes to sleep around",OAG,GEN,ram raja female dog can’t husband married separated likes sleep,"['ram', 'raja', 'female', 'dog', 'can’t', 'husband', 'married', 'separated', 'likes', 'sleep']","['ram', 'raja', 'female', 'dog', 'can’t', 'husband', 'married', 'separated', 'likes', 'sleep']",ram raja female dog can’t husband married separated likes sleep
C33.775,Manjee.. Chakshu ji.. Nd.. Akhil ji... 😁 😂 🤣 🤣 🤣 fab.. 😁 😂 🤣,NAG,NGEN,manjee chakshu akhil fab,"['manjee', 'chakshu', 'akhil', 'fab']","['manjee', 'chakshu', 'akhil', 'fab']",manjee chakshu akhil fab
C4.1321.3,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their fuckin mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG,NGEN,totally agree points kabir singh haters girts counter points shut fuckin mouths vomiting diarrhoea movieif watch movie forcing,"['totally', 'agree', 'points', 'kabir', 'singh', 'haters', 'girts', 'counter', 'points', 'shut', 'fuckin', 'mouths', 'vomiting', 'diarrhoea', 'movieif', 'watch', 'movie', 'forcing']","['totally', 'agree', 'points', 'kabir', 'singh', 'haters', 'girts', 'counter', 'points', 'shut', 'fuckin', 'mouths', 'vomiting', 'diarrhoea', 'movieif', 'watch', 'movie', 'forcing']",totally agree points kabir singh haters girts counter points shut fuckin mouths vomiting diarrhoea movieif watch movie forcing
